isco3d,tasks_social_outward,tasks_social_inward,tasks_social,tasks_analytical,tasks_routine,tasks_manual,tasks_social_care,tasks_social_mngmt,ess_social,ess_social_outward,ess_social_inward,ess_analytical,ess_routine,ess_manual,ess_social_care,ess_social_mngmt,opt_social,opt_social_outward,opt_social_inward,opt_analytical,opt_routine,opt_manual,opt_social_care,opt_social_mngmt,weight_LFS,onet_nrca,onet_nrcp,onet_rcog,onet_rman,onet_nrma,onet_abstract,onet_routine,onet_manual
11,-.6581663851845078,1.598609847898247,-.1655422277046198,-.5709438412449753,-.958156066014053,-.5535866627199498,-.4351423772894462,3.913711331865193,-.1145409353863925,-.425672921592199,1.119253398669755,-1.270687238573728,-1.104401020521122,-.5546658084308539,-.3837340362936844,2.706277902979887,-.2039570461875205,-.9188283386799742,1.669874468662183,.2846795174367658,-.5432864083807346,-.502266937637212,-.4051146898718186,4.105668199499312,237.234286329709,7.1737583e-10,-5.1902331e-09,-3.7828527e-09,3.0464573e-09,-5.9488117e-09,-5.6795639e-09,6.9165274e-10,-1.1058604e-10
21,-.6581663851845078,1.37457214706843,-.2228997191323914,-.4512640535951689,-.9104087101210371,-.1189057475184554,-.0924637566338856,3.461582019563015,-.2825771296886325,-.6191741288745364,1.119253398669755,-.6853026203557161,-.9183122579221367,-.4356758959443954,-.4470512495873481,2.547027212182558,-.0154498064018878,-.5035922328506939,1.217231921141661,-.107281936947565,-.6990991014591917,.20625264249615,.7407806155667384,3.407064352755255,383.7988011967391,7.1737583e-10,-5.1902331e-09,-3.7828527e-09,3.0464573e-09,-5.9488117e-09,-5.6795639e-09,6.9165274e-10,-1.1058604e-10
31,-.8272088002297754,-.1040766784083626,-.7477207656965011,.0083063309800874,.3787698989903948,.2015161842586463,-.2980709290272219,-.4041236006206075,-.5962446923861471,-.7094746922729604,.0962238860306153,-.083192727331475,.1535590146480154,.2782635789743557,-.2950899376825552,-.4150356366477684,-.7619384759529935,-.7804163034035474,-.3443848678041417,.1017641720574114,.609727520399848,.1070599012774793,-.2045830114200711,-.225675650313837,695.4873291198164,7.1737583e-10,-5.1902331e-09,-3.7828527e-09,3.0464573e-09,-5.9488117e-09,-5.6795639e-09,6.9165274e-10,-1.1058604e-10
111,1.532755896088469,3.384510377370217,2.39874733548411,1.056017386291536,-3.318239657297415,-.9013313948811453,-.4994820366778371,1.378557687885123,1.418055846297212,.6247622036547746,3.232586473532014,-.3364611743972272,-2.062492306816466,-.8640395808956459,-.4253424907438063,2.023774942419904,3.443388747607637,2.926389822285139,2.332672484674376,2.271861875061453,-4.340664328264276,-.856526727703893,-.4992418042471286,-.1192217308099809,355.1311409925111,1.6562744,1.8314486,-.91401678,-1.2751791,-1.5377508,1.8928311,-1.2918316,-1.5377508
112,-.7327439212338905,4.735137659515687,.572935474427939,.6617579715480303,-3.417144894504377,-.8640730307210173,-.3861882886243661,4.817969956469549,.5295978094388607,-.5869239276608135,4.529351774133553,.4436534290647358,-3.709643696906908,-.8640395808956459,-.3520754296468525,5.413539646534486,.4369675690836308,-.7804163034035474,3.254123384984011,.7419678808851519,-2.257226032243763,-.7856747696905568,-.3334962332819087,2.009856659267143,1432.803030148731,1.25432,2.2626531,-1.0984234,-.89880025,-1.1073785,1.9087056,-1.1785499,-1.1073785
121,.4494481316970653,2.831884048656669,1.108545191998701,1.794042743465341,-1.198825476550993,-.8693956541724641,-.5330505546196064,2.908261861174158,-.1654852419129447,-.3907607990084546,.765871322119425,.3940749358891281,-.9372755889679382,-.8538404455396639,-.4470512495873481,.881719988416199,3.248777463867041,2.089765964614292,4.654082121243913,2.853789833263798,-1.300090917618955,-.8059181862657958,-.5483516030516382,4.70225370671884,2349.092940015486,.99267453,1.8982307,-.16558757,-.75244713,-.89216602,1.5689306,-.54172683,-.89216602
122,.374318169454724,2.623582329194662,.9902112245649776,1.517229093668846,-2.405855896690298,-.8880839765130999,-.4628830275329915,1.926603004297121,.3565827649350728,.1200004829439921,1.107345118628453,1.259010575868395,-2.180242186693385,-.8545203878967293,-.3837340362936844,.5447151932241366,1.883446455705386,.7845624421219178,3.757311016977658,1.449240549685323,-2.191438450721748,-.8407818481453739,-.4862822740070497,3.172643950847805,1343.153453326784,1.4260125,1.5502632,-1.3709849,-1.2795901,-1.3378716,1.6152623,-1.5640888,-1.3378716
131,-.0781188825781979,.3664024933342533,.0208696194356377,.793405737962817,-1.865355827981357,.2164195299226975,-.5330505546196064,1.08790312997658,-.4319426357350681,-.5116734581621267,.0637467586452457,.6527193641425969,-.9183122579221367,.4210514739581059,-.4470512495873481,.7952696134119346,.9270863925262762,.8805281199135737,.6514287367410078,.7637435172398366,-2.77660167583862,-.0063032315438586,-.5483516030516382,1.078384863608401,119.1304151638178,.5978812,.97989291,-1.4783909,-.32172406,.91687453,.85627782,-1.0622373,.91687453
132,-.309325200020359,1.930346501653751,.221218034836734,1.197023690497859,-.5199884434556253,-.7066432121543265,-.4751048986486952,2.555454582064428,-.1025933741342042,-.4802425805284115,1.377285628795268,.4376626382065129,-.3714420012207676,-.7757891606625931,-.4082856087953091,2.170034391865724,.7887974486048807,.1694199132117266,1.980483902047642,1.72211915429645,-.6128938754884111,-.5738805527115801,-.4665019383774556,2.091536989844854,2867.091129295761,.98696148,1.4147067,-.57804376,-.62514311,-.63444889,1.3034155,-.70999348,-.63444889
133,-.763127361846602,.3664024933342533,-.5527052948420779,.6019180777231269,-1.531124336730245,-.8682128489610315,-.5330505546196064,1.012548244592884,-.531519639766025,-.6406742630170182,.0637467586452459,1.238103982360609,-1.464172628212492,-.8640395808956459,-.4470512495873481,.3706011046190565,-.3798971366541111,-.7496580733421192,.6514287367410074,-.1943844823663052,-1.287724830866696,-.7935472094698164,-.5483516030516382,1.544120761437772,526.2954755593091,1.4965428,1.8699569,-.50053906,-.57088053,-1.0361041,1.8270417,-.63223839,-1.0361041
